Serial_Number,Date,Time,Timestamp,People_Count,Camera_ID,Location,Latitude,Longitude
1,2026-07-22,23:50:34,2026-07-22 23:50:34,2,cam1,"GPS (28.56111, 77.20532)",28.561111,77.205319
2,2026-07-22,23:52:34,2026-07-22 23:52:34,1,cam1,"GPS (28.56111, 77.20532)",28.561111,77.205319
3,2026-07-22,23:54:34,2026-07-22 23:54:34,2,cam1,"GPS (28.56111, 77.20532)",28.561111,77.205319
4,2026-07-22,23:56:34,2026-07-22 23:56:34,1,cam1,"GPS (28.56113, 77.20533)",28.561131,77.205329
5,2026-07-22,23:58:34,2026-07-22 23:58:34,1,cam1,"GPS (28.56117, 77.20524)",28.561166,77.205241
6,2026-07-23,00:00:34,2026-07-23 00:00:34,1,cam1,"GPS (28.56110, 77.20532)",28.561097,77.205324
7,2026-07-23,00:02:34,2026-07-23 00:02:34,1,cam1,"GPS (28.56110, 77.20532)",28.561097,77.205324
8,2026-07-23,00:04:34,2026-07-23 00:04:34,1,cam1,"GPS (28.56110, 77.20532)",28.561097,77.205324
9,2026-07-23,00:06:34,2026-07-23 00:06:34,1,cam1,"GPS (28.56119, 77.20530)",28.561192,77.205299
10,2026-07-23,00:08:34,2026-07-23 00:08:34,1,cam1,"GPS (28.56119, 77.20530)",28.561192,77.205299
11,2026-07-23,00:10:34,2026-07-23 00:10:34,1,cam1,"GPS (28.56129, 77.20532)",28.561286,77.205324
12,2026-07-23,00:12:34,2026-07-23 00:12:34,1,cam1,"GPS (28.56110, 77.20537)",28.561103,77.205367
13,2026-07-23,00:14:34,2026-07-23 00:14:34,1,cam1,"GPS (28.56110, 77.20537)",28.561103,77.205367
14,2026-07-23,00:16:34,2026-07-23 00:16:34,1,cam1,"GPS (28.56113, 77.20536)",28.561133,77.205362
15,2026-07-23,00:18:34,2026-07-23 00:18:34,1,cam1,"GPS (28.56113, 77.20536)",28.561133,77.205362
16,2026-07-23,00:20:34,2026-07-23 00:20:34,1,cam1,"GPS (28.56113, 77.20536)",28.561133,77.205362
17,2026-07-23,00:22:34,2026-07-23 00:22:34,1,cam1,"GPS (28.56121, 77.20527)",28.561214,77.205266
18,2026-07-23,00:24:34,2026-07-23 00:24:34,1,cam1,"GPS (28.56120, 77.20531)",28.561202,77.205306
19,2026-07-23,00:26:34,2026-07-23 00:26:34,1,cam1,"GPS (28.56108, 77.20532)",28.561079,77.205324
20,2026-07-23,00:28:34,2026-07-23 00:28:34,1,cam1,"GPS (28.56108, 77.20532)",28.561079,77.205324
21,2026-07-23,00:30:34,2026-07-23 00:30:34,1,cam1,"GPS (28.56111, 77.20529)",28.561105,77.205288
22,2026-07-23,00:32:34,2026-07-23 00:32:34,1,cam1,"GPS (28.56109, 77.20531)",28.561091,77.205311
23,2026-07-23,00:34:34,2026-07-23 00:34:34,1,cam1,"GPS (28.56109, 77.20531)",28.561091,77.205311
24,2026-07-23,00:36:34,2026-07-23 00:36:34,1,cam1,"GPS (28.56109, 77.20531)",28.561091,77.205311
